id,color,name,price,XS (28),S (30б),M (32),L (34),XL (36),XXL,total,relevant_VK,sold,notes,
,,,,,,,,,,,,,,
,,,,,,,,,,,"** При создании упомяналось об актуализации размеров в разделе ""Описание""",,,
,,CONVERSE,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
10008462-A05,001,Футболка Converse (Черный) (зеленый принт) ,"р.2 100,00",,,1,,,,1,,,Только на складе ,
10018569-A31,101,Футболка Converse (Белый) (розовый принт) ,"р.1 590,00",1,1,,1,,,3,,,Только на складе ,
13846C,102,Лонгслив Converse (Белый) (вышивка all star),"р.1 295,00",1,1,,,,,2,,,только в коробке,
,,,,,,,,,,,,,,
10021994-A02,,Куртка Converse (Черный) (женская),"р.12 500,00",1,1,,,,,2,,,,
,,Куртка Converse (Черный) (длинная),"р.15 800,00",,,,,1,,1,,,,
,,Куртка Converse (Синий),"р.3 500,00",,1,,,,,1,,,,
,,Бомбер Converse (Черный) ,"р.7 950,00",1,,,,,,1,,,,
,,Анорак Converse (Черный),"р.4 500,00",,,,,,1,1,,,,
,,,,,,,,,,,,,,
,,Леггинсы Converse (Black),"р.2 100,00",,1,,,,,1,,,,
,,Спортивный топ Converse (Белый),"р.2 150,00",1,,,,,,1,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,DICKIES,,,,,,,,,,,,
,,Худи San Antonio (Black),"р.5 190,00",,1,,,,,1,да,,,
,,Худи San Antonio (White),"р.5 190,00",,,,,,1,1,нет,,,
,,Худи Campti (Navy),"р.5 590,00",,1,,,,,1,нет вк,,,
,,Худи Campti (Gray),"р.5 590,00",,1,,,,,1,да,,,
,,Худи Baldwin (Black),"р.5 190,00",,1,1,,,,2,да,,,
,,,,,,,,,,,,,,
,,Свитшот Pittsburgh (Black),"р.4 390,00",1,2,,1,,,4,да,,,
,,Свитшот Pittsburgh (Pink Berry),"р.4 390,00",1,1,,,1,,3,да,,,
,,Свитшот Pittsburgh (Yeallow),"р.4 390,00",1,1,,1,,,3,да,,,
,,Свитшот Pittsburgh (White),"р.4 390,00",,,,1,,1,2,нет,,,
