id,name,price,count,35 (22cm),36 (22.5cm),36.5 (23cm),37 (23.5cm),37.5 (24cm),38 (24.5cm),38.5,39 (24.5cm),39.5 ,40 (25cm),40.5 (25.5cm),41 (26cm),41.5 (26.5cm),42 (27cm),42.5 (27.5cm),43 (28cm),44 (28.5cm),44.5 (29cm),45 (29.5cm),46 (30cm),46.5 (30.5cm),47 (31cm),48 (31.5cm),notes
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CONVERSE,,,,,,,,,,,,,,,,,,,,,,,,,,
,Converse Chuck Taylor 70,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"ULTRA, Boulvard, OneStar",,,,,,,,,,,,,,,,,,,,,,,,,,
170083C,Синие Boulvard (Conv),"р.7 500,00",4,,,,,,,,,,1,,,,1,1,,1,,,,,,,
170084C,Серые Boulvard (Conv),"р.7 500,00",4,,,,,,,,,,1,,1,,,,,1,1,,,,,,
170082C,Черные Boulvard (Conv),"р.7 500,00",0,,,,,,,,,,,,,,,,,,,,,,,,
170512C,Белые Boulvard (Conv),"р.7 500,00",5,,,,1,,2,,,,1,,1,,,,,,,,,,,,
163757C,"One Star black, кожа (Conv)","р.4 590,00",1,,,,,,,,,,,,,1,-,,,,,,,,,,
163758C,"One Star white, кожа (Conv)","р.4 590,00",1,,,,,,,,1,,,,,,,,,,,,,,,,
170087C,Желтые (Conv),"р.5 490,00",7,,,,,,,,1,,1,,1,,1,1,1,1,,,,,,,
170949C,Ultra (Brown) (Conv),"р.8 900,00",6,,,,,,,,,,,,,,2,2,2,,,,,,,,
159627C,Ultra (Black) (Conv),"р.8 900,00",5,,,,,,,,1,1,,,,,1,1,-,-,,,1,-,,,
159628C,Ultra (White) (Conv),"р.6 790,00",2,,,,,,,,,,1,,,,-,,-,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CONVERSE WOMEN,,,,,,,,,,,,,,,,,,,,,,,,,,
168816C,Converse Run Star low HI (BLACK),"р.12 500,00",3,,,,,,1,,1,,1,,,,,,,,,,,,,,
166800C,Converse Run Star Hike HI (BLACK),"р.13 900,00",2,,1,,1,,,,,,,,,,,,,,,,,,,,
A00852C,Converse Run Star Hike HI (SADDLE),"р.13 900,00",1,,,,1,,,,,,,,,,,,,,,,,,,,
560251C,Converse Ctas Lift OX White/Black/White,"р. 9 200,00",5,,1,,,,2,,1,,1,,,,,,,,,,,,,,
560846C,Converse Ctas Lift OX White/Black/White HI,"р. 11 190,00",1,,1,,,,,,,,,,,,,,,,,,,,,,
570260C,Converse Ctas Move HI (Pink),"р. 7 890,00",3,,,1,,,1,,1,,,,,,,,,,,,,,,,
570257C,Converse Ctas Move OX White,"р.7 490,00",3,,1,,1,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,(LEATHER) КОЖА,,,,,,,,,,,,,,,,,,,,,,,,,,
135251C,Converse Chuck Taylor All Star (MonoBlack) (LEATHER) High top,"р.9 900,00",5,,1,,1,,,,1,,1,,,,,,,,,,1,,,,
135253C,Converse Chuck Taylor All Star (MonoBlack) (LEATHER) Low top,"р.9 500,00",10,,,,,,,,,,1,,1,1,2,,1,1,,2,,,,1,
132170C,Converse Chuck Taylor All Star (Black) (LEATHER) High top,"р.9 900,00",4,,,,,,,,,,,,,,,1,,,,,,3,,,
132174C,Converse Chuck Taylor All Star (Black) (LEATHER) Low top,"р.9 500,00",7,,,,,,,,,,1,,,1,,1,1,1,1,1,,,,,
132169C,Converse Chuck Taylor All Star (White) (LEATHER) High top,"р.9 900,00",3,,,,,,,,1,,,,1,,,,,,,1,,,,,
132173C,Converse Chuck Taylor All Star (White) (LEATHER) Low top,"р.9 500,00",6,,,,1,,2,,,,,,1,,,,1,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WINTER ,,,,,,,,,,,,,,,,,,,,,,,,,,
171428C,Женские WHITE (Conv) высокие,"р.10 900,00",5,,,1,2,1,,,1,,,,,,,,,,,,,,,,
171449С,Мужские BROUNY (Conv) высокие ,"р.10 900,00",5,,,,,,,,,,,,,1,,2,1,1,,,,,,,
171447C,Уни BLACK (Conv) высокие,"р.10 900,00",3,,,,,,,,,,,,1,,,,1,,1,,,,,,
171446С,WHEAT / CEDAR BARK/  White (Conv),"р.9 900,00",9,,,,,,,,,,1,,1,1,1,1,1,,1,1,1,,,,45 размер - плохая коробка
171445C,BLACK (Conv) low ,"р.9 900,00",4,,,,,,,,,,,,1,1,,,1,1,,,,,,,
565236C,BLACK Замша Рифлёный  (Conv),"р.7 650,00",1,,,,,1,,,,,,,,,,,,,,,,,,,
164923C,BLACK LEATHER (Conv) высокие,"р.7 650,00",2,,,,,,,,,,1,,,,,,,,,,,1,,,
164924С,BLUE LEATHER (Conv) высокие,"р.7 650,00",2,,,,,,,,,1,1,,,,,,,,,,,,,,
164925С,HACKY LEATHER (Conv) высокие,"р.6 150,00",1,,,,,,,,,1,,,,,,,,,,,,,,,
